step;volume;A_0;B_0;C;L;p;Compl;Aext;Bext;A_ingresso;A_uscita;B_ingresso;B_uscita;A_netto;B_netto;Avicino;Amedio;Alontano
563;4.18816e-15;36;626;9224;10015;1;2;333;3554;492;144;491;137;348;354;64;63;6
563;4.18816e-15;0;0;0;0;1;1;310;3554;486;162;557;135;324;422;64;63;6
563;4.18816e-15;36;626;9224;10015;1;1;285;3554;511;136;476;147;375;329;64;63;6
564;4.19826e-15;100;1322;9178;10073;1;50;280;3554;160;27;1754;527;133;1227;64;63;6
564;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;64;63;6
564;4.19826e-15;77;1326;9189;10068;1;38;1.07374e+08;-2.14748e+09;126;35;1882;513;91;1369;64;63;6
565;4.23497e-15;100;1579;9154;10127;1;88;1.032e+08;-2.06399e+09;149;43;1775;726;106;1049;64;63;6
565;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;64;62;6
565;4.2318e-15;77;1325;9189;10068;1;38;2.10574e+08;-2.06399e+09;0;0;-1;0;0;-1;64;62;6
566;4.26924e-15;100;1579;9154;10127;1;88;2.02414e+08;-1.98428e+09;0;0;-1;0;0;-1;64;63;6
566;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;64;63;6
566;4.2318e-15;77;1324;9189;10068;1;38;3.09788e+08;-1.98428e+09;0;0;-1;0;0;-1;64;63;6
567;4.26924e-15;100;1578;9154;10127;1;88;2.97823e+08;-1.90817e+09;0;0;-1;0;0;-1;239;238;6
567;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;239;238;6
567;4.2318e-15;77;1324;9189;10068;1;38;4.05197e+08;-1.90817e+09;0;0;-1;0;0;-1;239;238;6
568;4.26924e-15;100;1572;9154;10127;1;88;3.89597e+08;-1.83548e+09;0;0;-1;0;0;-1;913;913;6
568;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;913;913;6
568;4.2318e-15;77;1321;9189;10068;1;38;4.96971e+08;-1.83548e+09;0;0;-1;0;0;-1;913;913;6
569;4.26924e-15;100;1572;9154;10127;1;88;4.77899e+08;-1.76604e+09;0;0;-1;0;0;-1;2534;2533;6
569;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;2534;2533;6
569;4.2318e-15;77;1321;9189;10068;1;38;5.85273e+08;-1.76604e+09;0;0;-1;0;0;-1;2534;2533;6
570;4.26924e-15;101;1569;9154;10127;1;88;5.62884e+08;-1.69969e+09;1;0;-1;0;1;-1;5648;5647;6
570;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;5648;5647;6
570;4.2318e-15;78;1319;9189;10068;1;38;6.70258e+08;-1.69969e+09;1;0;-1;0;1;-1;5648;5647;6
571;4.26924e-15;101;1569;9154;10127;1;88;6.44698e+08;-1.63627e+09;0;0;-1;0;0;-1;10888;10887;6
571;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;10888;10887;6
571;4.2318e-15;78;1318;9189;10068;1;38;7.52072e+08;-1.63627e+09;0;0;-1;0;0;-1;10888;10887;6
572;4.26924e-15;101;1569;9154;10127;1;88;7.2348e+08;-1.57565e+09;0;0;-1;0;0;-1;18951;18950;6
572;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;18951;18950;6
572;4.2318e-15;78;1318;9189;10068;1;38;8.30855e+08;-1.57565e+09;0;0;-1;0;0;-1;18951;18950;6
573;4.26924e-15;101;1568;9154;10127;1;88;7.99365e+08;-1.51768e+09;1;0;-1;0;1;-1;30582;30581;6
573;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;30582;30581;6
573;4.2318e-15;78;1317;9189;10068;1;38;9.06739e+08;-1.51768e+09;1;0;-1;0;1;-1;30582;30581;6
574;4.26924e-15;101;1566;9154;10127;1;88;8.72477e+08;-1.46224e+09;1;0;-1;0;1;-1;46565;46564;6
574;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;46565;46564;6
574;4.2318e-15;80;1317;9189;10068;1;38;9.79851e+08;-1.46224e+09;1;0;-1;0;1;-1;46565;46564;6
575;4.26924e-15;101;1566;9154;10127;1;88;9.42938e+08;-1.40921e+09;0;0;-1;0;0;-1;67707;67706;6
575;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;67707;67706;6
575;4.2318e-15;81;1317;9189;10068;1;38;1.05031e+09;-1.40921e+09;2;0;-1;0;2;-1;67707;67706;6
576;4.26924e-15;101;1566;9154;10127;1;88;1.01086e+09;-1.35846e+09;2;0;-1;0;2;-1;94830;94828;6
576;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;94830;94828;6
576;4.2318e-15;82;1315;9189;10068;1;38;1.11824e+09;-1.35846e+09;0;0;-1;0;0;-1;94830;94828;6
577;4.26924e-15;103;1566;9154;10127;1;88;1.07636e+09;-1.30989e+09;1;0;-1;0;1;-1;128760;128758;6
577;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;128760;128758;6
577;4.2318e-15;82;1315;9189;10068;1;38;1.18373e+09;-1.30989e+09;0;0;-1;0;0;-1;128760;128758;6
578;4.26924e-15;103;1566;9154;10127;1;88;1.13953e+09;-1.2634e+09;1;0;-1;0;1;-1;170321;170319;6
578;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;170321;170319;6
578;4.2318e-15;83;1313;9189;10068;1;38;1.2469e+09;-1.2634e+09;2;0;-1;0;2;-1;170321;170319;6
579;4.26924e-15;103;1566;9154;10127;1;88;1.20047e+09;-1.21888e+09;1;0;-1;0;1;-1;220327;220326;6
579;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;220327;220326;6
579;4.2318e-15;83;1313;9189;10068;1;38;1.30785e+09;-1.21888e+09;0;0;-1;0;0;-1;220327;220326;6
580;4.26924e-15;103;1566;9154;10127;1;88;1.25928e+09;-1.17625e+09;1;0;-1;0;1;-1;279577;279575;6
580;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;279577;279575;6
580;4.2318e-15;84;1312;9189;10068;1;38;1.36666e+09;-1.17625e+09;2;0;-1;0;2;-1;279577;279575;6
581;4.26924e-15;103;1565;9154;10127;1;88;1.31605e+09;-1.13541e+09;0;0;-1;0;0;-1;348848;348846;6
581;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;348848;348846;6
581;4.2318e-15;85;1311;9189;10068;1;38;1.42343e+09;-1.13541e+09;2;0;-1;0;2;-1;348848;348846;6
