step;A_0;B_0;C;L;p;Compl;Aext;Bext;A_ingresso;A_uscita;B_ingresso;B_uscita
0;3267;473;72;10001;1;29;1200;1200;604;2659;562;165
1;420;418;0;9199;1;29;1359;1359;1271;2779;1230;305
2;601;667;2;9199;1;28;1487;1487;2048;3056;1972;540
3;723;804;15;9199;1;22;1589;1589;2860;3382;2732;897
4;769;812;19;9199;1;21;1671;1671;3649;3753;3584;1322
5;857;830;20;9199;1;21;1736;1736;4526;4159;4449;1743
6;870;873;21;9199;1;22;1788;1788;5427;4589;5383;2186
7;903;900;27;9200;1;19;1830;1830;6326;5023;6309;2618
8;980;895;27;9200;1;20;1864;1863;7225;5463;7229;3085
9;966;955;31;9200;1;19;1891;1890;8147;5951;8186;3538
10;1004;980;33;9200;1;19;1912;1911;9097;6429;9171;4027
11;939;968;34;9201;1;20;1929;1928;10079;6975;10160;4495
12;948;967;36;9201;1;21;1943;1942;11029;7470;11112;4946
13;982;971;47;9202;1;16;1954;1953;12053;7940;12061;5452
14;970;1041;43;9202;1;20;1963;1962;13009;8413;13113;5939
15;978;1021;45;9202;1;21;1970;1969;13996;8916;14071;6441
16;984;933;44;9203;1;24;1976;1975;14949;9413;15048;6935
17;972;926;47;9203;1;25;1981;1980;15914;9925;15995;7405
18;987;971;56;9203;1;21;1985;1984;16941;10355;17016;7894
19;992;1017;60;9203;1;21;1988;1987;17896;10850;17985;8344
20;990;1018;63;9203;1;22;1991;1989;18873;11352;19015;8850
21;1023;1023;65;9203;1;23;1993;1991;19889;11842;20015;9341
22;1049;1005;63;9203;1;27;1995;1993;20852;12401;21067;9834
23;1026;1013;66;9203;1;27;1996;1994;21864;12907;22058;10323
24;1028;999;65;9203;1;30;1997;1995;22852;13427;23009;10842
25;1002;991;70;9203;1;30;1998;1996;23854;13892;23981;11334
26;968;1005;64;9204;1;38;1999;1997;24862;14392;24960;11871
27;968;1041;73;9204;1;34;2000;1998;25871;14868;25925;12351
28;1002;1009;78;9205;1;34;2001;1999;26876;15331;26955;12851
29;952;1005;78;9205;1;37;2002;1999;27903;15868;27943;13345
30;984;1037;80;9207;1;38;2002;1999;28876;16331;28942;13805
31;993;1053;91;9207;1;36;2002;1999;29868;16857;29921;14315
32;1005;1060;92;9208;1;39;2002;1999;30895;17329;30949;14826
33;964;1014;90;9209;1;45;2003;2000;31906;17843;31926;15344
34;995;1002;100;9209;1;44;2003;2000;32901;18319;32889;15809
35;961;945;100;9210;1;48;2003;2000;33893;18823;33891;16304
36;993;928;99;9213;1;52;2004;2000;34873;19284;34914;16803
37;956;1005;107;9213;1;51;2004;2000;35898;19799;35877;17251
38;951;1005;113;9214;1;53;2004;2000;36861;20313;36911;17701
39;969;1031;117;9215;1;56;2004;2001;37903;20749;37872;18207
40;963;1022;128;9217;1;54;2005;2001;38892;21261;38917;18714
41;935;1006;134;9217;1;56;2005;2001;39901;21740;39906;19224
42;933;976;154;9218;1;47;2005;2001;40927;22212;40929;19744
43;929;963;147;9218;1;56;2006;2001;41888;22682;41929;20247
44;1027;981;147;9218;1;61;2006;2002;42938;23136;42893;20747
45;1005;975;154;9218;1;64;2006;2002;43961;23649;43884;21241
46;1029;1015;164;9219;1;65;2006;2002;44968;24128;44883;21727
47;1010;986;173;9220;1;65;2007;2002;45981;24649;45859;22220
48;1006;1021;183;9220;1;64;2007;2002;46955;25146;46799;22739
49;1032;965;185;9221;1;70;2007;2003;47985;25638;47794;23286
50;1005;987;210;9221;1;62;2008;2003;48931;26154;48782;23810
51;1070;993;214;9222;1;71;2008;2003;49920;26629;49834;24301
52;1030;969;218;9223;1;79;2008;2003;50928;27137;50831;24751
53;994;987;221;9223;1;88;2008;2003;51981;27635;51798;25250
54;987;1002;229;9226;1;94;2009;2004;53013;28125;52839;25763
55;1047;982;246;9228;1;90;2009;2004;53993;28661;53865;26237
56;947;982;251;9229;1;98;2009;2004;54949;29212;54880;26737
57;1011;1002;254;9230;1;106;2010;2004;55948;29692;55875;27206
58;969;957;278;9233;1;102;2010;2004;56954;30197;56835;27674
59;978;932;291;9234;1;109;2010;2004;57974;30674;57843;28141
60;1019;920;301;9237;1;113;2010;2005;58987;31123;58886;28618
61;1011;1004;296;9240;1;128;2011;2005;60000;31610;59915;29135
62;975;995;303;9247;1;135;2011;2005;61010;32121;60868;29644
63;989;985;314;9248;1;137;2011;2005;62010;32632;61930;30155
64;938;996;341;9249;1;132;2012;2005;62995;33102;62902;30669
65;1004;990;374;9250;1;125;2012;2006;63997;33532;63903;31158
66;946;971;381;9256;1;134;2012;2006;65054;34000;64928;31647
67;961;960;398;9259;1;138;2012;2006;66023;34473;65976;32151
68;1011;930;398;9261;1;149;2013;2006;66995;34956;66929;32623
69;998;1003;417;9264;1;151;2013;2006;67992;35444;67901;33103
70;1023;1012;426;9266;1;163;2013;2007;69012;35925;68936;33620
71;970;964;442;9269;1;169;2014;2007;69973;36427;69937;34103
72;1066;984;463;9269;1;171;2014;2007;71002;36913;70948;34617
73;1023;974;465;9270;1;188;2014;2007;72011;37446;71923;35100
74;1020;965;471;9271;1;199;2014;2007;73055;37942;72933;35630
75;975;980;496;9272;1;200;2015;2007;74071;38426;73947;36157
76;973;996;545;9274;1;187;2015;2008;75043;38900;74924;36634
77;991;1013;544;9277;1;206;2015;2008;76053;39376;75957;37136
78;1001;988;560;9279;1;217;2016;2008;77077;39903;76940;37649
79;968;980;570;9283;1;234;2016;2008;78098;40377;77970;38166
80;960;1001;607;9289;1;230;2016;2008;79188;40899;79037;38658
81;974;960;626;9292;1;240;2016;2009;80222;41410;80017;39163
82;997;967;651;9297;1;252;2017;2009;81223;41860;81013;39647
83;1002;989;668;9302;1;267;2017;2009;82236;42372;82016;40122
84;986;1018;694;9306;1;277;2017;2009;83299;42828;83053;40592
85;989;978;723;9309;1;284;2018;2009;84282;43343;84079;41067
86;945;960;739;9312;1;293;2018;2009;85279;43859;85081;41559
87;1015;999;780;9317;1;296;2018;2010;86322;44327;86104;41995
88;992;991;816;9328;1;307;2018;2010;87307;44828;87118;42480
89;994;962;833;9337;1;325;2019;2010;88300;45320;88116;42972
