id;step;volume;A_0;B_0;C;L;p;Aext;Bext;Compl;A_uscita;A_ingresso;B_uscita;B_ingresso;A_netto;B_netto;Avicino;Amedio;Alontano;
0-0;0;4.18816e-15;377;350;96;10001;1;659;1000;4;123;465;125;458;342;333;659;0;0;
0-0;1;4.18816e-15;340;353;95;10000;1;279;980;5;125;498;110;448;373;338;279;0;0;
0-0;2;4.18816e-15;236;435;95;10000;1;268;961;5;121;141;189;430;20;241;268;0;0;
0-0;3;4.18816e-15;181;461;94;10001;1;227;943;6;75;124;210;435;49;225;227;0;0;
0-0;4;4.18879e-15;127;463;93;10002;1;223;925;7;78;92;211;416;14;205;223;0;0;
0-0;5;4.18942e-15;135;481;93;10002;1;193;907;7;55;95;189;438;40;249;193;0;0;
0-0;6;4.18942e-15;117;430;93;10003;1;176;890;7;56;83;221;420;27;199;176;0;0;
0-0;7;4.19005e-15;114;472;95;10004;1;147;873;6;42;83;204;415;41;211;147;0;0;
0-0;8;4.19068e-15;82;437;95;10006;1;143;857;6;45;61;233;397;16;164;143;0;0;
0-0;9;4.19195e-15;63;467;97;10007;1;114;841;5;35;74;178;377;39;199;114;0;0;
0-0;10;4.19258e-15;64;450;96;10007;1;100;826;6;25;51;195;389;26;194;100;0;0;
0-0;11;4.19258e-15;56;449;95;10007;1;105;811;7;28;35;210;365;7;155;105;0;0;
0-0;12;4.19258e-15;60;429;95;10007;1;91;796;7;22;47;187;385;25;198;91;0;0;
0-0;13;4.19258e-15;57;408;95;10007;1;82;782;7;24;44;186;376;20;190;82;0;0;
0-0;14;4.19258e-15;48;384;95;10007;1;89;768;7;19;24;195;369;5;174;89;0;0;
0-0;15;4.19258e-15;36;369;95;10007;1;78;755;7;23;45;151;359;22;208;78;0;0;
0-0;16;4.19258e-15;31;368;93;10007;1;67;741;9;16;39;179;378;23;199;67;0;0;
0-0;17;4.19258e-15;26;366;93;10007;1;62;728;9;19;35;168;347;16;179;62;1;0;
0-0;18;4.19258e-15;33;366;93;10007;1;64;716;9;17;26;164;342;9;178;64;1;0;
0-0;19;4.19258e-15;31;369;93;10008;1;68;704;9;20;27;165;330;7;165;68;1;0;
0-0;20;4.19321e-15;33;337;93;10009;1;63;692;9;12;27;164;328;15;164;63;1;0;
0-0;21;4.19384e-15;22;354;95;10010;1;65;680;8;17;26;152;328;9;176;65;1;0;
0-0;22;4.19447e-15;29;333;99;10010;1;65;669;6;10;20;168;337;10;169;65;2;0;
0-0;23;4.19447e-15;37;325;99;10011;1;54;658;6;17;37;141;292;20;151;54;2;0;
0-0;24;4.1951e-15;28;337;99;10011;1;58;647;6;15;21;153;301;6;148;58;2;0;
0-0;25;4.1951e-15;24;321;101;10011;1;54;636;5;11;25;145;286;14;141;54;3;0;
0-0;26;4.1951e-15;22;322;105;10011;1;56;626;3;16;24;159;261;8;102;56;3;0;
0-0;27;4.1951e-15;28;329;105;10012;1;47;616;3;6;24;157;289;18;132;47;4;0;
0-0;28;4.19574e-15;19;316;105;10012;1;46;606;3;12;23;139;283;11;144;46;4;0;
0-0;29;4.19574e-15;21;300;105;10012;1;44;596;3;7;19;144;249;12;105;44;4;0;
0-0;30;4.19574e-15;17;328;105;10012;1;38;587;3;15;30;136;279;15;143;38;5;0;
0-0;31;4.19574e-15;17;279;104;10012;1;37;578;4;6;16;146;266;10;120;37;5;0;
0-0;32;4.19574e-15;10;286;104;10012;1;40;569;4;17;23;116;228;6;112;40;6;0;
0-0;33;4.19574e-15;21;292;104;10012;1;33;560;4;4;20;130;266;16;136;33;6;0;
0-0;34;4.19574e-15;22;277;103;10012;1;30;552;5;5;17;130;249;12;119;30;7;0;
0-0;35;4.19574e-15;17;267;103;10013;1;39;544;5;11;11;125;285;0;160;39;8;0;
0-0;36;4.19637e-15;22;244;103;10013;1;39;536;5;6;15;133;262;9;129;39;8;0;
0-0;37;4.19637e-15;32;290;102;10015;1;41;528;6;9;15;110;264;6;154;41;9;0;
0-0;38;4.19763e-15;24;289;102;10015;1;41;520;6;13;21;130;213;8;83;41;9;0;
0-0;39;4.19763e-15;20;279;102;10015;1;44;513;6;11;17;118;259;6;141;44;10;0;
0-0;40;4.19763e-15;19;275;102;10017;1;38;506;6;6;20;135;201;14;66;38;11;0;
